,Код,Наименование,Рекомендованная цена
587,4601546080943,1С:Предприятие 8 ПРОФ. Клиентская лицензия на 500 рабочих мест. Коробочная поставка,2149000
588,2900001833561,1С:Предприятие 8.3. Сервер МИНИ на 5 подключений. Электронная поставка,17500
589,2900001833578,1С:Предприятие 8.3 ПРОФ. Лицензия на сервер. Электронная поставка,61100
590,2900001833585,1С:Предприятие 8.3 ПРОФ. Лицензия на сервер (x86-64). Электронная поставка,104700
591,4601546109019,1С:Предприятие 8.3. Сервер МИНИ на 5 подключений. Коробочная поставка,17500
592,4601546106773,1С:Предприятие 8.3 ПРОФ. Лицензия на сервер. Коробочная поставка,61100
593,4601546106780,1С:Предприятие 8.3 ПРОФ. Лицензия на сервер (x86-64). Коробочная поставка,104700
594,2900001916066,1С:Предприятие 8 КОРП. Клиентская лицензия на 1 рабочее место. Электронная поставка,14100
595,2900001916073,1С:Предприятие 8 КОРП. Клиентская лицензия на 5 рабочих мест. Электронная поставка,48500
596,2900001916080,1С:Предприятие 8 КОРП. Клиентская лицензия на 10 рабочих мест. Электронная поставка,93000
597,2900001916097,1С:Предприятие 8 КОРП. Клиентская лицензия на 20 рабочих мест. Электронная поставка,174900
598,2900001916103,1С:Предприятие 8 КОРП. Клиентская лицензия на 50 рабочих мест. Электронная поставка,419800
599,2900001916110,1С:Предприятие 8 КОРП. Клиентская лицензия на 100 рабочих мест. Электронная поставка,807200
600,2900001916127,1С:Предприятие 8 КОРП. Клиентская лицензия на 300 рабочих мест. Электронная поставка,2394500
601,2900001916141,1С:Предприятие 8 КОРП. Клиентская лицензия на 500 рабочих мест. Электронная поставка,3981800
602,2900001916158,1С:Предприятие 8 КОРП. Клиентская лицензия на 1000 рабочих мест. Электронная поставка,7945800
603,4601546106568,1С:Предприятие 8 КОРП. Клиентская лицензия на 1 рабочее место. Коробочная поставка,14100
604,4601546106582,1С:Предприятие 8 КОРП. Клиентская лицензия на 5 рабочих мест. Коробочная поставка,48500
605,4601546106605,1С:Предприятие 8 КОРП. Клиентская лицензия на 10 рабочих мест. Коробочная поставка,93000
606,4601546106629,1С:Предприятие 8 КОРП. Клиентская лицензия на 20 рабочих мест. Коробочная поставка,174900
607,4601546106643,1С:Предприятие 8 КОРП. Клиентская лицензия на 50 рабочих мест. Коробочная поставка,419800
608,4601546106674,1С:Предприятие 8 КОРП. Клиентская лицензия на 100 рабочих мест. Коробочная поставка,807200
609,4601546106698,1С:Предприятие 8 КОРП. Клиентская лицензия на 300 рабочих мест. Коробочная поставка,2394500
610,4601546106711,1С:Предприятие 8 КОРП. Клиентская лицензия на 500 рабочих мест. Коробочная поставка,3981800
611,4601546106735,1С:Предприятие 8 КОРП. Клиентская лицензия на 1000 рабочих мест. Коробочная поставка,7945800
612,2900001916059,1С:Предприятие 8.3 КОРП. Лицензия на сервер (x86-64). Электронная поставка,242200
613,4601546106742,1С:Предприятие 8.3 КОРП. Лицензия на сервер (x86-64). Коробочная поставка,242200
614,2900002085969,1С:Предприятие 8 КОРП. Клиентская лицензия на 1 рабочее место. Электронный апгрейд лицензии ПРОФ (USB),18400
615,2900002085976,1С:Предприятие 8 КОРП. Клиентская лицензия на 5 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),63100
